Model,Stage,N_subjects,WBIC_mean,WBIC_SD
MF+P,4.2,6,18.85,6.59
MF+P,4.3,6,16.78,2.16
MF+P,4.4,6,17.9,5.42
MF+P,4.5,6,35.44,6.21
MF+P,4.6,6,100.85,13.96
MF+P,4.7,6,148.91,20.57
MF+P,4.8,6,165.53,18.87
MB+P,4.2,6,18.93,6.8
MB+P,4.3,6,17.08,2.34
MB+P,4.4,6,18.79,5.95
MB+P,4.5,6,35.83,6.6
MB+P,4.6,6,102.47,14.04
MB+P,4.7,6,148.1,21.02
MB+P,4.8,6,159.69,17.18
RaC+P,4.2,6,18.66,6.81
RaC+P,4.3,6,17.93,1.72
RaC+P,4.4,6,18.39,4.57
RaC+P,4.5,6,36.21,7.37
RaC+P,4.6,6,102.93,15.0
RaC+P,4.7,6,152.28,19.85
RaC+P,4.8,6,174.81,19.95
Hybrid+P,4.2,6,20.08,6.8
Hybrid+P,4.3,6,17.95,2.44
Hybrid+P,4.4,6,19.31,5.62
Hybrid+P,4.5,6,36.7,6.35
Hybrid+P,4.6,6,101.66,13.76
Hybrid+P,4.7,6,147.63,20.94
Hybrid+P,4.8,6,159.05,17.41
LS,4.2,6,15.9,6.35
LS,4.3,6,15.32,2.16
LS,4.4,6,16.04,5.15
LS,4.5,6,32.69,6.49
LS,4.6,6,102.14,18.77
LS,4.7,6,158.14,18.94
LS,4.8,6,189.66,17.22
LS-Asym+P,4.2,6,17.35,6.65
LS-Asym+P,4.3,6,15.99,2.03
LS-Asym+P,4.4,6,17.08,5.59
LS-Asym+P,4.5,6,33.69,5.85
LS-Asym+P,4.6,6,101.17,14.64
LS-Asym+P,4.7,6,149.51,20.93
LS-Asym+P,4.8,6,162.09,17.3
Hyb-Inf,4.2,6,19.66,6.78
Hyb-Inf,4.3,6,19.13,2.95
Hyb-Inf,4.4,6,19.82,4.74
Hyb-Inf,4.5,6,35.95,6.18
Hyb-Inf,4.6,6,100.51,13.87
Hyb-Inf,4.7,6,148.12,21.01
Hyb-Inf,4.8,6,160.13,17.31
