subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,Wmb,P
WT1,0,2019-12-19 16:11:15,4.4,mb_p,21.135219855593505,102,0.39041167524475767,0.5329895372706945,2.788946400215271,-1.4531504804557194
WT2,0,2019-12-17 17:00:01,4.4,mb_p,11.294492983896028,58,0.4775246836986661,0.4444355161455041,3.940859611259834,-1.1687893637699538
WT3,0,2019-12-18 11:15:07,4.4,mb_p,16.92650833127,82,0.4087318172373882,0.4972422997080863,3.49485267091632,-0.16046585971261998
WT4,0,2020-03-13 15:52:16,4.4,mb_p,20.366560786496283,97,0.42187053238245326,0.569945706709781,3.55603441914991,0.2357120785988827
WT5,0,2020-03-13 17:01:07,4.4,mb_p,14.613944654610856,67,0.3651852415953948,0.529237661901395,3.0101861636781586,-1.3415773770644852
WT6,0,2020-03-18 13:23:48,4.4,mb_p,28.379239065335657,141,0.37422032775199005,0.5175086939329943,3.03304916875945,-0.06107732611762237
