stage,subject,better_rate
4.6,WT1,0.5108837618716043
4.6,WT2,0.48019348563151976
4.6,WT3,0.48310503890146195
4.6,WT4,0.4418582121601016
4.6,WT5,0.3883848026539959
4.6,WT6,0.5589887640449438
4.7,WT1,0.5751262550713152
4.7,WT2,0.585972850678733
4.7,WT3,0.5804314951065627
4.7,WT4,0.5338899340411113
4.7,WT5,0.5843044798633026
4.7,WT6,0.6117274414202268
4.8,WT1,0.6615316881404856
4.8,WT2,0.6563109653991088
4.8,WT3,0.624341069976719
4.8,WT4,0.675696353655379
4.8,WT5,0.6356691587448777
4.8,WT6,0.660568092599043
