stage,subject,stay_rew_com,stay_rew_rare,stay_unrew_com,stay_unrew_rare
4.6,WT1,0.4774768463091553,0.3373160173160173,0.5421305200986964,0.4967171717171717
4.6,WT2,0.4814095857196334,0.47289245841877414,0.5410161452182854,0.5024705587109679
4.6,WT3,0.5210243171742635,0.583459595959596,0.5321498552381563,0.6484848484848486
4.6,WT4,0.5580605967228358,0.6225071225071225,0.6231947247441155,0.432740970784449
4.6,WT5,0.5510356838560213,0.6562597895931229,0.6241975500049417,0.5618321402635128
4.6,WT6,0.7066839714471123,0.43125,0.7421000658327848,0.7194570135746606
4.7,WT1,0.805550827509862,0.47293819484608957,0.6293492420648555,0.6384504492456438
4.7,WT2,0.6666666666666666,0.30208333333333337,0.5441176470588236,0.6476923076923078
4.7,WT3,0.7521568014178852,0.43253968253968256,0.5749007936507936,0.5819243156199678
4.7,WT4,0.6419415409081347,0.492218137254902,0.5898812999370601,0.6323691841783947
4.7,WT5,0.7570893401549454,0.599281045751634,0.5883349281464794,0.5220703933747413
4.7,WT6,0.832375341419321,0.6415625302891422,0.6621657716421868,0.5819455906412428
4.8,WT1,0.8993953590326911,0.3351441487805124,0.6094330324685553,0.6740880287915861
4.8,WT2,0.841263777936231,0.340558418956391,0.6516266491505194,0.6596575444045336
4.8,WT3,0.8093650039002463,0.40756157327364756,0.687120728274488,0.6356145051629687
4.8,WT4,0.8696044964398658,0.4941805176247901,0.6549917711190375,0.6524925958682765
4.8,WT5,0.8430808305151473,0.5182448280885781,0.6322881294476471,0.6070875066303665
4.8,WT6,0.9238222994979237,0.6916352905028408,0.7236559789582122,0.6970016619950876
